artists,titles,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,clusters,id
Rita Lee,All My Loving,5dIZa3pwSn1vDenZpSBEFO,0.701,0.182,-17.068,0.0381,0.835,0.0276,0.109,0.125,117.885,185733.0,1.0,5dIZa3pwSn1vDenZpSBEFO
The Beatles,All My Loving - Anthology 1 Version,2vCsB0tzKlAtsSwB4NBprX,0.261,0.805,-5.722,0.0408,0.0436,0.0,0.375,0.858,155.586,139333.0,4.0,2vCsB0tzKlAtsSwB4NBprX
The Beatles,All My Loving - Live / Remastered,7j021TxcicWprdXpCcMBeH,0.203,0.663,-8.037,0.0349,0.0203,0.0,0.899,0.725,169.994,135253.0,3.0,7j021TxcicWprdXpCcMBeH
The Beatles,All My Loving - Remastered 2009,4joiWvli4qJVEW6qZV2i2J,0.416,0.563,-8.724,0.0298,0.207,0.0,0.343,0.9,77.56,127853.0,4.0,4joiWvli4qJVEW6qZV2i2J
LMFAO,All Night Long,2NsQgzcCEy9hZbHaBG4Xfy,0.652,0.829,-4.982,0.0499,0.141,0.0,0.0971,0.438,130.915,227067.0,6.0,2NsQgzcCEy9hZbHaBG4Xfy
Lionel Richie,All Night Long (All Night) - Single Version,2Wb9ejnmy27DUTUe9YF5Ew,0.739,0.576,-12.024,0.0472,0.122,0.00206,0.0482,0.78,108.81,260427.0,0.0,2Wb9ejnmy27DUTUe9YF5Ew
Plants and Animals,All Of The Time,1zwB5h9WqvAlOTOUapSNSe,0.55,0.751,-7.818,0.0754,0.225,0.345,0.133,0.347,144.296,219618.0,2.0,1zwB5h9WqvAlOTOUapSNSe
WhoMadeWho,All That I Am,6g4jkJItHpKs8Ljwt0EEMx,0.607,0.811,-6.618,0.0443,0.033,0.354,0.376,0.339,118.987,331507.0,6.0,6g4jkJItHpKs8Ljwt0EEMx
Bahamas,All The Time,40WXqoyOLAAugGmJWZU1FY,0.711,0.468,-4.797,0.0515,0.63,0.00427,0.087,0.533,127.458,234973.0,1.0,40WXqoyOLAAugGmJWZU1FY
The Strokes,All The Time,7uFZNMEZzAGOwQ6EZID1K4,0.403,0.883,-6.054,0.0745,8.44e-05,0.65,0.126,0.078,141.945,181373.0,2.0,7uFZNMEZzAGOwQ6EZID1K4
Sufjan Stevens,All the Trees of the Field Will Clap Their Hands,5OojmQ36TXkfL2JfoFJcaq,0.632,0.225,-13.423,0.0296,0.984,0.74,0.112,0.683,144.641,254053.0,7.0,5OojmQ36TXkfL2JfoFJcaq
The Killers,All These Things That I've Done,0kYUrLVQOfx21xuXu7OGrT,0.557,0.728,-6.181,0.0405,0.00156,5.13e-06,0.118,0.216,118.241,301573.0,6.0,0kYUrLVQOfx21xuXu7OGrT
The Beatles,All Things Must Pass - Anthology 3 Version,25RYJGPnetSkV8le7TeJnR,0.492,0.231,-13.476,0.0368,0.972,6.16e-06,0.229,0.61,93.232,184987.0,1.0,25RYJGPnetSkV8le7TeJnR
Bahamas,All Time Favourite,7hneDPwMWHSDxFZTaiGbaT,0.378,0.254,-12.694,0.0399,0.891,0.00489,0.109,0.19,123.885,249320.0,1.0,7hneDPwMWHSDxFZTaiGbaT
The Beatles,All Together Now - Remastered 2009,2ck8lFrYAch2GPtdhpTHe3,0.587,0.431,-9.495,0.0686,0.0722,0.0,0.561,0.778,95.937,130893.0,3.0,2ck8lFrYAch2GPtdhpTHe3
Perfume Genius,All Waters,6ZMu3XuSt70jbJa7OfHN7X,0.126,0.277,-12.954,0.0304,0.936,0.00212,0.345,0.0688,88.611,130200.0,7.0,6ZMu3XuSt70jbJa7OfHN7X
Brazilian Girls,All We Have,7BYRb9EJ90vcBmTHMvmQvm,0.613,0.821,-8.534,0.0344,0.00855,0.783,0.0869,0.46,101.99,226640.0,5.0,7BYRb9EJ90vcBmTHMvmQvm
The Beatles,All You Need Is Love,3oGGipilQmZTol8qFTR6u1,0.372,0.532,-7.968,0.0314,0.232,0.0,0.0951,0.727,102.627,220045.0,6.0,3oGGipilQmZTol8qFTR6u1
The Beatles,All You Need Is Love - Remastered 2009,2Z8cY4QpZTFUZxCQCpvNe1,0.4,0.463,-8.455,0.0288,0.345,4.59e-05,0.286,0.627,103.103,231213.0,1.0,2Z8cY4QpZTFUZxCQCpvNe1
The Beatles,All You Need Is Love - Remastered 2009,6tzFM08UuwxhuftjfUqaQA,0.389,0.436,-9.7,0.0295,0.343,3.2e-05,0.258,0.692,100.371,228653.0,1.0,6tzFM08UuwxhuftjfUqaQA
The Beatles,All You Need Is Love - Remastered 2009,68BTFws92cRztMS1oQ7Ewj,0.4,0.48,-7.768,0.0295,0.346,3.1e-05,0.155,0.653,103.436,230387.0,6.0,68BTFws92cRztMS1oQ7Ewj
The Beatles,All You Need Is Love - Remastered 2015,6KqiVlOLfDzJViJVAPym1p,0.397,0.625,-5.829,0.0347,0.437,5.47e-06,0.263,0.676,104.54,227760.0,6.0,6KqiVlOLfDzJViJVAPym1p
Ariane Moffatt,All Yours,6Ul9vDvJrFNlCQpFvXSLr9,0.719,0.638,-6.311,0.0274,0.0381,7.5e-05,0.155,0.589,112.034,154067.0,6.0,6Ul9vDvJrFNlCQpFvXSLr9
Lester Young,Almost Like Being In Love,7jgVqaSm3zrJlFrhVYiZj9,0.697,0.103,-14.972,0.0967,0.962,0.561,0.0806,0.464,129.535,214627.0,7.0,7jgVqaSm3zrJlFrhVYiZj9
The Strokes,"Alone, Together",4pXyK9GW7fuT645U0DLYYF,0.511,0.855,-5.752,0.0307,0.00782,0.89,0.0694,0.962,142.985,188314.0,5.0,4pXyK9GW7fuT645U0DLYYF
The Strokes,"Alone, Together",4UmJMAY5TqXPAnsDW1Mci7,0.515,0.863,-5.756,0.0308,0.00786,0.893,0.0616,0.961,143.017,188640.0,5.0,4UmJMAY5TqXPAnsDW1Mci7
Sufjan Stevens,Alphabet St.,13Q8MH3xSfIyXSVIQpIl8H,0.808,0.839,-8.966,0.108,0.642,0.0805,0.0818,0.856,99.986,96293.0,0.0,13Q8MH3xSfIyXSVIQpIl8H
Bahamas,Already Yours,6gyUiLI8CLSy9UIAiHcJ2j,0.64,0.291,-12.42,0.0419,0.619,0.304,0.114,0.538,123.456,125547.0,1.0,6gyUiLI8CLSy9UIAiHcJ2j
Tame Impala,Alter Ego,2Zy9cf5v1tWFDmXTbahAU8,0.31,0.844,-3.582,0.0497,0.0142,0.224,0.0914,0.206,129.111,287613.0,2.0,2Zy9cf5v1tWFDmXTbahAU8
Alabama Shakes,Always Alright,17Jg504RgNPNgdpRkJh9Co,0.693,0.62,-6.509,0.0424,0.784,0.844,0.112,0.571,106.346,249170.0,5.0,17Jg504RgNPNgdpRkJh9Co
Cage The Elephant,Always Something,7lWrbqRzkjLIv9SGHUDDnL,0.693,0.947,-5.22,0.0437,0.000886,1.67e-05,0.256,0.917,119.983,221947.0,4.0,7lWrbqRzkjLIv9SGHUDDnL
Michael Kiwanuka,Always Waiting,5pxUPHdS1ItmLjU25AbYLg,0.43,0.405,-10.604,0.025,0.553,1.67e-05,0.0883,0.225,92.387,270178.0,1.0,5pxUPHdS1ItmLjU25AbYLg
They Call Me Rico,Am I Wrong,7EIYJ6ina8Zg2jmYKbje6L,0.474,0.845,-7.039,0.0566,0.346,0.00684,0.222,0.847,108.539,209587.0,4.0,7EIYJ6ina8Zg2jmYKbje6L
Other Lives,AM Theme,2j2A7RwqpXtff83skQLzJg,0.628,0.392,-11.613,0.026,0.406,0.000275,0.112,0.386,110.253,154000.0,1.0,2j2A7RwqpXtff83skQLzJg
Radiohead,The Amazing Sounds of Orgy,4p9RKOnHojKDseLNZi6A93,0.323,0.628,-11.727,0.101,0.243,0.39,0.165,0.205,124.587,218493.0,2.0,4p9RKOnHojKDseLNZi6A93
Electric Guest,Amber,6hUoWKThrEV9PtoPIio5TJ,0.652,0.573,-8.338,0.0513,0.0429,0.479,0.149,0.837,78.011,230773.0,5.0,6hUoWKThrEV9PtoPIio5TJ
TRICOT MACHINE,Ambulance,67a946zFlPNDkdhi0YK7hG,0.435,0.703,-7.25,0.0754,0.535,0.000835,0.14,0.574,127.402,230747.0,6.0,67a946zFlPNDkdhi0YK7hG
Purity Ring,Amenamy,51UseDByqDUbRDQeRWqmhm,0.586,0.841,-4.598,0.0341,0.0172,1.36e-05,0.203,0.446,145.986,207080.0,4.0,51UseDByqDUbRDQeRWqmhm
Estelle,American Boy (feat. Kanye West),41on8RwRh22IHcChAN2gm8,0.727,0.729,-2.99,0.326,0.171,0.0,0.07,0.512,117.932,284733.0,0.0,41on8RwRh22IHcChAN2gm8
Electric Guest,American Daydream,7KBC17M7S7OOiuxpeKwBrM,0.666,0.473,-10.06,0.0454,0.154,0.00317,0.109,0.409,75.002,168627.0,6.0,7KBC17M7S7OOiuxpeKwBrM
Coldplay,Amsterdam,2uQ4px5SPONsgcUpulywIQ,0.269,0.176,-10.463,0.0296,0.836,0.0343,0.122,0.105,78.861,319360.0,1.0,2uQ4px5SPONsgcUpulywIQ
The Beatles,And I Love Her - Anthology 1 Version,74Z5zhIzC2X2UQPS4OLNNp,0.616,0.633,-6.404,0.0275,0.275,4.44e-05,0.173,0.857,118.849,112053.0,4.0,74Z5zhIzC2X2UQPS4OLNNp
The Beatles,And I Love Her - Remastered 2009,65vdMBskhx3akkG9vQlSH1,0.767,0.331,-10.777,0.0337,0.64,0.0,0.0681,0.636,113.312,149693.0,1.0,65vdMBskhx3akkG9vQlSH1
The Beatles,And Your Bird Can Sing - Take 2 / Anthology 2 Version,4gBHbKEHw2QjmgYkS9ixKJ,0.327,0.676,-9.007,0.0368,0.03,0.0164,0.0994,0.822,133.627,133413.0,4.0,4gBHbKEHw2QjmgYkS9ixKJ
The Beatles,And Your Bird Can Sing - Remastered 2009,4KRgqwb4kvBuTz1utbYxfb,0.555,0.65,-6.936,0.0282,0.0067,0.0491,0.236,0.966,132.59,120493.0,4.0,4KRgqwb4kvBuTz1utbYxfb
,"Anderson East - Satisfy Me - 3_15_2015 - Riverview Bungalow, Austin, TX",164,,,,,,,,,,,,
The Killers,"Andy, You're A Star",3Jm6PDqIputlpeg75EtDic,0.504,0.588,-4.35,0.0253,0.233,0.00466,0.148,0.712,84.126,194080.0,6.0,3Jm6PDqIputlpeg75EtDic
Hozier,Angel of Small Death and the Codeine Scene,3wT3WDdQrsST19f1I08Z1N,0.311,0.656,-6.752,0.0952,0.163,7.05e-06,0.126,0.297,188.171,218987.0,2.0,3wT3WDdQrsST19f1I08Z1N
Hozier,Angel of Small Death and the Codeine Scene,7uY7jZs5srSx3xMmyCI48T,0.52,0.643,-5.761,0.0432,0.198,7e-05,0.12,0.389,94.078,219213.0,6.0,7uY7jZs5srSx3xMmyCI48T
Hozier,Angel of Small Death and the Codeine Scene - Live From Spotify London,59o2b2BGgziNyPx9f3xnhA,0.594,0.2,-10.472,0.0622,0.928,0.0,0.673,0.415,92.821,210920.0,3.0,59o2b2BGgziNyPx9f3xnhA
The Lumineers,Angela,0wO3tPeULKGfrArC50Apea,0.669,0.56,-8.229,0.0309,0.652,0.000231,0.104,0.297,130.342,201787.0,1.0,0wO3tPeULKGfrArC50Apea
Sufjan Stevens,Angels We Have Heard On High,4IQcYP8p7Ts33ajSPkWktw,0.445,0.168,-14.857,0.0392,0.858,0.307,0.36,0.487,99.231,52320.0,7.0,4IQcYP8p7Ts33ajSPkWktw
Sufjan Stevens,Angels We Have Heard On High,27xdZ9J1uQPIOWR2yNe8Ey,0.599,0.223,-13.441,0.0313,0.953,0.0014,0.183,0.402,123.959,243947.0,1.0,27xdZ9J1uQPIOWR2yNe8Ey
Miike Snow,Animal,6vSq5q5DCs1IvwKIq53hj2,0.774,0.721,-6.662,0.0773,0.0126,6.49e-06,0.0952,0.654,118.048,263427.0,0.0,6vSq5q5DCs1IvwKIq53hj2
Miike Snow,Animal,3HZPvDcGoiEm4GngYjELjw,0.778,0.725,-6.607,0.0842,0.0121,1.74e-05,0.0934,0.674,118.012,263427.0,0.0,3HZPvDcGoiEm4GngYjELjw
Miike Snow,Animal - Mark Ronson Extended Remix,5Jj8wUicHq3X7nTXorseMr,0.879,0.764,-6.731,0.0599,0.103,0.467,0.644,0.949,116.417,298400.0,3.0,5Jj8wUicHq3X7nTXorseMr
The Dø,Anita No!,6g3kSbl4ASleukET1mjgfp,0.726,0.578,-5.988,0.0639,0.657,0.000244,0.11,0.389,91.031,183710.0,1.0,6g3kSbl4ASleukET1mjgfp
Fujiya & Miyagi,Ankle Injuries,03K4RhOIVA6t2jhHOga4w8,0.777,0.728,-6.9,0.0316,0.000157,0.818,0.0942,0.569,136.999,304080.0,5.0,03K4RhOIVA6t2jhHOga4w8
The Beatles,Anna (Go To Him) - Remastered 2009,2baEFuU0gQon0hgVRioI1o,0.608,0.565,-11.06,0.0336,0.635,0.0,0.0601,0.835,109.286,177133.0,1.0,2baEFuU0gQon0hgVRioI1o
